# Deterministic prescreen excluded queue for mechanistic generated at 2026-05-19T07:31:34.240394+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/minf.201300013,,,Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,A. Seddik; M. Holy; Rene Weissensteiner; Barbara Zdrazil; H. Sitte; G. Ecker,Molecular Informatics,JournalArticle,,2013-06-01,1868-1743,1868-1751,Wiley,,Chemistry | Medicine | external | s2-fos-model,Funded Access | Austrian Science Fund,F03502 | F3506 | W1232,,,,,en,b66dddba28797d68fccdec32ed9c0205274c1d54
10.1007/s11064-014-1293-3,,,On the Discovery and Development of Pimavanserin: A Novel Drug Candidate for Parkinson’s Psychosis,2014,Uli Hacksell; Ethan S. Burstein; Krista McFarland; Roger G. Mills; Hilde Williams,Neurochemical Research,journal-article,,2014-03-29,0364-3190,1573-6903,Springer Science and Business Media LLC,Drug Discovery | Humans | Parkinson Disease / drug therapy | Parkinson Disease / physiopathology | Piperidines / chemistry | Piperidines / therapeutic use | Psychotic Disorders / drug therapy | Urea / analogs & derivatives | Urea / chemistry | Urea / therapeutic use,,,,,,,,eng,
10.1007/s11064-025-04337-7,,,Regulation by Trace Amine-Associated Receptor 1 (TAAR1) of Dopaminergic-GABAergic Interaction in the Striatum: Effects of the Enhancer Drug (-)BPAP,2025,Laszlo G. Harsing; Gábor Szénási; Balázs Fehér; Ildikó Miklya,Neurochemical Research,journal-article,,2025-02-04,0364-3190,1573-6903,Springer Science and Business Media LLC,"Animals | Male | Receptors, G-Protein-Coupled / agonists | Receptors, G-Protein-Coupled / metabolism | Receptors, G-Protein-Coupled / physiology | Corpus Striatum / drug effects | Corpus Striatum / metabolism | Dopamine / metabolism | Benzofurans / pharmacology | gamma-Aminobutyric Acid / metabolism | Rats | Rats, Wistar | GABAergic Neurons / metabolism | GABAergic Neurons / drug effects | Rats, Sprague-Dawley | Dose-Response Relationship, Drug | Trace Amine-Associated Receptors",(-)BPAP | Dopaminergic activity enhancer effect | Rat striatum | Trace amines / Trace amine-associated receptor 1 | [3H]Dopamine and [3H]GABA release,,,,,,,eng,
10.1007/s11095-022-03267-1,,,"In Vitro ADME and Preclinical Pharmacokinetics of Ulotaront, a TAAR1/5-HT1A Receptor Agonist for the Treatment of Schizophrenia",2022,Guangqing Xiao; Yu-Luan Chen; Nina Dedic; Linghong Xie; Kenneth S. Koblan; Gerald R. Galluppi,Pharmaceutical Research,journal-article,,2022-04-28,0724-8741,1573-904X,Springer Science and Business Media LLC,"Animals | Cytochrome P-450 CYP2D6 / metabolism | Cytochrome P-450 Enzyme System / metabolism | Mice | Microsomes, Liver / metabolism | NADP / metabolism | NADP / pharmacology | Pharmaceutical Preparations / metabolism | Rats | Receptor, Serotonin, 5-HT1A / metabolism | Schizophrenia / drug therapy",CYP2D6 | TAAR1 | blood–brain barrier | drug-drug interactions | phenotyping | ulotaront,,,,,,,eng,
10.1007/s11307-019-01323-8,,,Confirmation of Specific Binding of the 18-kDa Translocator Protein (TSPO) Radioligand [18F]GE-180: a Blocking Study Using XBD173 in Multiple Sclerosis Normal Appearing White and Grey Matter,2019,Sujata Sridharan; Joel Raffel; Ashwini Nandoskar; Chris Record; David J. Brooks; David Owen; David Sharp; Paolo A. Muraro; Roger Gunn; Richard Nicholas,Molecular Imaging and Biology,journal-article,,2019-02-22,1536-1632,1860-2002,Springer Science and Business Media LLC,"Adult | Carbazoles / metabolism | Female | Gray Matter / metabolism | Humans | Linear Models | Male | Middle Aged | Multiple Sclerosis / diagnostic imaging | Multiple Sclerosis / metabolism | Protein Binding | Purines / pharmacology | Radiopharmaceuticals / metabolism | Receptors, GABA / metabolism | Reproducibility of Results | White Matter / metabolism",Multiple sclerosis | Occupancy plot | PET | Polymorphism plot | XBD173 | [11C]PBR28 | [18F]GE-180,Medical Research Council | Department of Health,MR/N008219/1 | NIHR-RP-011-048,10.1007/s11307-019-01433-3 | 10.1007/s11307-019-01463-x,CommentIn PMID:31641965 Mol Imaging Biol. 2020 Feb;22(1):10-12. doi: 10.1007/s11307-019-01433-3. | CommentIn PMID:31828717 Mol Imaging Biol. 2020 Feb;22(1):13-14. doi: 10.1007/s11307-019-01463-x.,,,eng,
10.1007/s11419-017-0385-6,,,The newest cathinone derivatives as designer drugs: an analytical and toxicological review,2017,Milena Majchrzak; Rafał Celiński; Piotr Kuś; Teresa Kowalska; Mieczysław Sajewicz,Forensic Toxicology,journal-article,,2017-09-07,1860-8965,1860-8973,Springer Science and Business Media LLC,,Designer drugs | GC–MS | LC–MS | NMR | NPS | New synthetic cathinones,,,,,,,eng,
10.1007/s11419-022-00639-5,,,A review of synthetic cathinones emerging in recent years (2019–2022),2022,Patryk Kuropka; Marcin Zawadzki; Paweł Szpot,Forensic Toxicology,journal-article,,2022-09-15,1860-8965,1860-8973,Springer Science and Business Media LLC,Illicit Drugs / adverse effects | Synthetic Cathinone | Alkaloids | Psychotropic Drugs / adverse effects | Data Management,Drug user forums | Early warning systems | N-Ethylhexedrone analogs | Novel psychoactive substances | Synthetic cathinones,,,,,,,eng,
10.1007/s11682-021-00609-2,,,Brain 5-HT2A receptor binding and its neural network related to behavioral inhibition system,2022,Kazuho Kojima; Shigeki Hirano; Yasuyuki Kimura; Chie Seki; Yoko Ikoma; Keisuke Takahata; Takehito Ito; Keita Yokokawa; Hiroki Hashimoto; Kazunori Kawamura,Brain Imaging and Behavior,journal-article,,2022-01-10,1931-7557,1931-7565,Springer Science and Business Media LLC,"Brain / diagnostic imaging | Brain Mapping | Humans | Inhibition, Psychological | Magnetic Resonance Imaging / methods | Male | Neural Networks, Computer | Neural Pathways | Receptor, Serotonin, 5-HT2A",Behavioral inhibition system | Cingulate cortex | Positron emission tomography | Resting state functional magnetic resonance image | Serotonin system,MEXT Quantum Leap Flagship Program | AMED | Japan Society for the Promotion of Science,JPMXS0120330644 | dm0207007 | dm0107094 | 17H02173 | 20H05711,,,,,eng,
10.1007/s12035-015-9586-3,,,Concentration-Dependent Dual Mode of Zn Action at Serotonin 5-HT1A Receptors: In Vitro and In Vivo Studies,2015,Grzegorz Satała; Beata Duszyńska; Katarzyna Stachowicz; Anna Rafalo; Bartlomiej Pochwat; Christine Luckhart; Paul R. Albert; Mireille Daigle; Kenji F. Tanaka; René Hen,Molecular Neurobiology,journal-article,,2015-12-12,0893-7648,1559-1182,Springer Science and Business Media LLC,"8-Hydroxy-2-(di-n-propylamino)tetralin | Animals | Behavior, Animal | Body Temperature / drug effects | HEK293 Cells | Humans | Immobilization | Kinetics | Mice, Knockout | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT1A / metabolism | Zinc / pharmacology",5-HT1A | Autoreceptor | Behavioural studies | Binding | Depression | Serotonin | Zn,CIHR,115098-1 | 123426-1,,,,,eng,
10.1007/s12035-018-1130-9,,,Role of the Prefrontal Cortex in Pain Processing,2018,Wei-Yi Ong; Christian S. Stohler; Deron R. Herr,Molecular Neurobiology,journal-article,,2018-06-06,0893-7648,1559-1182,Springer Science and Business Media LLC,Animals | Dopamine / metabolism | Humans | Neural Pathways / metabolism | Neural Pathways / physiopathology | Pain / metabolism | Pain / physiopathology | Pain Perception / physiology | Prefrontal Cortex / metabolism | Prefrontal Cortex / physiopathology,Antinociception | Nociception | Pain | Prefrontal cortex,,,,,,,eng,
10.1007/s12035-022-02946-9,,,The mGlu5 Receptor Protomer-Mediated Dopamine D2 Receptor Trans-Inhibition Is Dependent on the Adenosine A2A Receptor Protomer: Implications for Parkinson’s Disease,2022,Wilber Romero-Fernandez; Jaume J. Taura; René A. J. Crans; Marc Lopez-Cano; Ramon Fores-Pons; Manuel Narváez; Jens Carlsson; Francisco Ciruela; Kjell Fuxe; Dasiel O. Borroto-Escuela,Molecular Neurobiology,journal-article,,2022-07-12,0893-7648,1559-1182,Springer Science and Business Media LLC,"Adenosine | Animals | Catalepsy | Dopamine | HEK293 Cells | Haloperidol | Humans | Mice | Parkinson Disease | Protein Subunits | Rats | Receptor, Adenosine A2A / metabolism | Receptors, Dopamine D2 / metabolism",Adenosine A2A receptor | Allosteric modulation | Dopamine D2 receptor | Heteroreceptor complex | Metabotropic glutamate receptor 5 | Receptor-receptor interaction,"Hjärnfonden | Vetenskapsrådet | Stiftelsen Olle Engkvist Byggmästare | Junta de Andalucía | Departament d'Innovació, Universitats i Empresa, Generalitat de Catalunya",F02019-0296 | F02018-0286 | 62X-00715-50-3 | 2017- 4676 | 2019 | 2021 | EMERGIA 2020-39318 | 2017SGR1604,,,,,eng,
10.1007/s12311-014-0565-4,,,Distinct Temporal Expression of 5-HT1A and 5-HT2A Receptors on Cerebellar Granule Cells in Mice,2014,Marlies Oostland; M. Renate Buijink; Guus M. Teunisse; Lars von Oerthel; Marten P. Smidt; Johannes A. van Hooft,The Cerebellum,journal-article,,2014-04-30,1473-4222,1473-4230,Springer Science and Business Media LLC,"6-Cyano-7-nitroquinoxaline-2,3-dione / pharmacology | Action Potentials / physiology | Age Factors | Animals | Animals, Newborn | Cerebellum / cytology | Cerebellum / growth & development | Electric Stimulation | Excitatory Amino Acid Antagonists / pharmacology | Excitatory Postsynaptic Potentials / drug effects | Female | Gene Expression Regulation, Developmental / drug effects | In Vitro Techniques | Male | Mice | Mice, Inbred C57BL | Neurons / metabolism | Patch-Clamp Techniques | Receptor, Serotonin, 5-HT1A / metabolism | Receptor, Serotonin, 5-HT2A / metabolism | Serotonin Agents / pharmacology",,,,,,,,eng,
10.1007/s12551-022-00929-7,,,Metabolic and electrolyte abnormalities as risk factors in drug-induced long QT syndrome,2022,Clifford TeBay; Adam P. Hill; Monique J. Windley,Biophysical Reviews,journal-article,,2022-01-27,1867-2450,1867-2469,Springer Science and Business Media LLC,,Acidosis | Arrhythmia | Febrile | Hypokalaemia | Hypomagnesemia | hERG,,,,,,,eng,
10.1007/s12640-020-00227-8,,,"Four Synthetic Cathinones: 3-Chloromethcathinone, 4-Chloromethcathinone, 4-Fluoro-α-Pyrrolidinopentiophenone, and 4-Methoxy-α-Pyrrolidinopentiophenone Produce Changes in the Spontaneous Locomotor Activity and Motor Performance in Mice with Varied Profiles",2020,Jakub Wojcieszak; Katarzyna Kuczyńska; Jolanta B. Zawilska,Neurotoxicity Research,journal-article,,2020-06-06,1029-8428,1476-3524,Springer Science and Business Media LLC,"Animals | Butyrophenones / pharmacology | Cell Line, Tumor | Cell Survival / drug effects | Central Nervous System Stimulants / pharmacology | Designer Drugs | Humans | Locomotion / drug effects | Methylamines / pharmacology | Mice | Neurons / drug effects | Pentanones / pharmacology | Propiophenones / pharmacology | Pyrrolidines / pharmacology | Pyrrolidinones / pharmacology | Rotarod Performance Test",3-CMC | 4-CMC | 4-F-PVP | 4-MeO-PVP | Rotarod | Spontaneous locomotor activity,Uniwersytet Medyczny w Lodzi,503/3-011-01/503-31-002-19,,,,,eng,
10.1007/s13311-012-0150-9,,,A Practical Guide to the Therapy of Narcolepsy and Hypersomnia Syndromes,2012,Emmanuel J.M. Mignot,Neurotherapeutics,journal-article,,2012-10-01,1878-7479,1933-7213,Elsevier BV,Antidepressive Agents / therapeutic use | Central Nervous System Stimulants / therapeutic use | Disorders of Excessive Somnolence / drug therapy | Humans | Narcolepsy / drug therapy | Practice Guidelines as Topic | Syndrome,,NINDS NIH HHS | PHS HHS,P50 NS023724 | NN23724,,,,,eng,
10.1007/s40120-023-00467-8,,,Dementia with Lewy Bodies Drug Therapies in Clinical Trials: Systematic Review up to 2022,2023,Carla Abdelnour; Maria Camila González; Lucy L. Gibson; Kathleen L. Poston; Clive Ballard; Jeffrey L. Cummings; Dag Aarsland,Neurology and therapy,Journal Article | Review,,2023-04-05,2193-8253,,,,Clinical trials | Dementia with Lewy bodies | Drug development | Drug therapies,NIA NIH HHS | NIGMS NIH HHS | NINDS NIH HHS,R35 AG071476 | P20AG068053 | P20GM109025 | P20 GM109025 | R01AG053798 | R35AG71476 | U01 NS093334 | U01NS093334 | P30AG072959,,,,,eng,
10.1007/s40263-015-0236-0,,,Targeting the Serotonin 5-HT7 Receptor in the Search for Treatments for CNS Disorders: Rationale and Progress to Date,2015,Agnieszka Nikiforuk,CNS drugs,"Journal Article | Research Support, Non-U.S. Gov't | Review",,2015-04,1172-7047,1179-1934,,"Animals | Central Nervous System Diseases / drug therapy | Central Nervous System Diseases / metabolism | Humans | Receptors, Serotonin / metabolism | Serotonin Agents / pharmacology | Serotonin Agents / therapeutic use",,,,,,,,eng,
10.1007/s40263-015-0278-3,,,Update on the Mechanism of Action of Aripiprazole: Translational Insights into Antipsychotic Strategies Beyond Dopamine Receptor Antagonism,2015,Andrea de Bartolomeis; Carmine Tomasetti; Felice Iasevoli,CNS drugs,"Journal Article | Research Support, Non-U.S. Gov't | Review",,2015-09,1172-7047,1179-1934,,"Animals | Antipsychotic Agents / therapeutic use | Aripiprazole / therapeutic use | Humans | Mental Disorders / drug therapy | Translational Research, Biomedical",,,,,,,,eng,
10.1007/s40263-020-00707-7,,,"Management of Dementia-Related Psychosis, Agitation and Aggression: A Review of the Pharmacology and Clinical Effects of Potential Drug Candidates",2020,Monika Marcinkowska; Joanna Śniecikowska; Nikola Fajkis; Paweł Paśko; Weronika Franczyk; Marcin Kołaczkowski,CNS drugs,"Journal Article | Research Support, Non-U.S. Gov't | Review",NCT03244228 | NCT03044249 | NCT03710642 | NCT03118947 | NCT02035553 | NCT02351882 | NCT03226522 | NCT03325556 | NCT03108846 | NCT03724942 | NCT02446132 | NCT03031184 | NCT03082755 | NCT02439125 | NCT01119638 | NCT03594123 | NCT00898807 | NCT01862640 | NCT01922258 | NCT01608217 | NCT01302340 | NCT01584440,2020-03,1172-7047,1179-1934,,Aggression / drug effects | Antipsychotic Agents / therapeutic use | Dementia / drug therapy | Humans | Psychomotor Agitation / drug therapy | Psychotic Disorders / drug therapy | Treatment Outcome,,,,,,,,eng,
10.1007/s40429-014-0025-8,,,"Psychostimulant Abuse and HIV Infection: Cocaine, Methamphetamine, and ‘Bath Salts’ Cathinone Analogs",2014,Brenda M. Gannon; Emily E. Reichard; William E. Fantegrossi,Current Addiction Reports,journal-article,,2014-06-15,2196-2952,,Springer Science and Business Media LLC,,,NIDA NIH HHS,T32 DA022981,,,,,eng,
10.1007/s40473-014-0013-2,,,Animal Models of Psychosis: Current State and Future Directions,2014,Alexandra D. Forrest; Carlos A. Coto; Steven J. Siegel,Current Behavioral Neuroscience Reports,journal-article,,2014-03-24,2196-2979,,Springer Science and Business Media LLC,,Animal Model | Behavior | Electroencephalography | Pharmacological Manipulation | Psychosis | Transgenic Mice,NIMH NIH HHS | NIDA NIH HHS,P50 MH096891 | R01 DA023210 | R01 MH074672 | R13 MH078710,,,,,eng,
10.1007/s41048-018-0047-1,,,Identification of natural products as novel ligands for the human 5-HT2C receptor,2018,Yao Peng; Simeng Zhao; Yiran Wu; Haijie Cao; Yueming Xu; Xiaoyan Liu; Wenqing Shui; Jianjun Cheng; Suwen Zhao; Ling Shen,Biophysics Reports,journal-article,,2018-02-01,2364-3420,2364-3439,Springer Science and Business Media LLC,,5-HT2C receptor | Alkaloids | GPCR | Natural product,,,,,,,eng,
10.1007/s43440-020-00105-2,,,Reduction of the serotonin 5-HT1B and 5-HT2A receptor-mediated contraction of human pulmonary artery by the combined 5-HT1B receptor antagonist and serotonin transporter inhibitor LY393558,2020,Marta Baranowska-Kuczko; Hanna Kozłowska; Eberhard Schlicker; Manfred Göthert; Margaret R. MacLean; Mirosław Kozłowski; Monika Kloza; Olga Sadowska; Barbara Malinowska,Pharmacological Reports,journal-article,,2020-04-24,1734-1140,2299-5684,Springer Science and Business Media LLC,"Aged | Benzamides / pharmacology | Citalopram / pharmacology | Cyclic S-Oxides / pharmacology | Female | Humans | Male | Middle Aged | Piperidones / pharmacology | Pulmonary Artery / drug effects | Pyridines / pharmacology | Receptor, Serotonin, 5-HT1B | Receptor, Serotonin, 5-HT2A | Serotonin 5-HT1 Receptor Antagonists / pharmacology | Serotonin 5-HT2 Receptor Antagonists | Selective Serotonin Reuptake Inhibitors / pharmacology | Spiro Compounds / pharmacology | Thiadiazines / pharmacology | Vasoconstriction / drug effects",5-HT1B receptor | 5-HT2A receptor | LY393558 | Pulmonary arterial hypertension | Serotonin | Serotonin transporter,Uniwersytet Medyczny w Bialymstoku,N/ST/ZB/15/002/2213 | N/ST/ZB/16/002/2213,,,,,eng,
10.1007/s43440-021-00310-7,,,Sigma receptors and neurological disorders,2021,Agnieszka Piechal; Alicja Jakimiuk; Dagmara Mirowska-Guzel,Pharmacological Reports,journal-article,NCT02442765 | NCT03790709 | NCT02907567 | NCT03774459 | NCT03922711 | NCT04615923,2021-08-05,1734-1140,2299-5684,Springer Science and Business Media LLC,"Animals | Central Nervous System Agents / pharmacology | Central Nervous System Diseases / physiopathology | Central Nervous System Diseases / therapy | Humans | Ligands | Receptors, sigma / metabolism",Central nervous system | Neurological disorders | Sigma receptors | Sigma receptors agonists | Sigma receptors antagonists,,,,,,,eng,
10.1007/s43440-023-00518-9,,,Metabolic and cardiovascular benefits and risks of 4-hydroxy guanabenz hydrochloride: α2-adrenoceptor and trace amine-associated receptor 1 ligand,2023,Magdalena Kotańska; Monika Marcinkowska; Kamil J. Kuder; Maria Walczak; Marek Bednarski; Agata Siwek; Marcin Kołaczkowski,Pharmacological Reports,journal-article,,2023-08-25,1734-1140,2299-5684,Springer Science and Business Media LLC,"Animals | Rats | Receptors, G-Protein-Coupled / metabolism | Male | Obesity / drug therapy | Obesity / metabolism | Receptors, Adrenergic, alpha-2 / metabolism | Molecular Docking Simulation | Ligands | Body Weight / drug effects | Humans | Adrenergic alpha-2 Receptor Agonists / pharmacology | Anti-Obesity Agents / pharmacology | Rats, Sprague-Dawley | Rats, Wistar","4-Hydroxy guanabenz hydrochloride | Guanabenz, α2-adrenoceptor partial agonist | Metabolic disturbances | Obesity | Trace amine-associated receptor 1",Narodowe Centrum Nauki | Uniwersytet Jagielloński Collegium Medicum,2011/03/B/NZ7/00635 | K/ZDS/006226 | N42/DBS/000298,,,,,eng,
10.1016/j.eurpsy.2017.11.007,,,TRIMAGE: A dedicated trimodality (PET/MR/EEG) imaging tool for schizophrenia,2018,Alberto Del Guerra; Salleh Ahmad; Mihai Avram; Nicola Belcari; Arne Berneking; Laura Biagi; Maria Giuseppina Bisogni; Felix Brandl; Jorge Cabello; Niccolò Camarlinghi,European Psychiatry,journal-article,,2018-02-01,0924-9338,1778-3585,Cambridge University Press (CUP),"Adult | Brain / diagnostic imaging | Electroencephalography / methods | Female | Humans | Image Processing, Computer-Assisted | Magnetic Resonance Spectroscopy / methods | Male | Middle Aged | Multimodal Imaging / methods | Positron-Emission Tomography / methods | Schizophrenia / diagnostic imaging",Biomarkers | EEG | MR | PET | Schizophrenia | Trimodal imaging,,,10.1016/j.eurpsy.2018.05.007,ErratumIn PMID:29885749 Eur Psychiatry. 2018 Jun;51:104-105. doi: 10.1016/j.eurpsy.2018.05.007.,,true,eng,
10.1016/j.expneurol.2021.113720,,,FDA-approved 5-HT1F receptor agonist lasmiditan induces mitochondrial biogenesis and enhances locomotor and blood-spinal cord barrier recovery after spinal cord injury,2021,Epiphani C. Simmons; Natalie E. Scholpa; Rick G. Schnellmann,Experimental Neurology,journal-article,,2021-04-10,0014-4886,1090-2430,Elsevier BV,"Animals | Benzamides / pharmacology | Benzamides / therapeutic use | Blood-Brain Barrier / drug effects | Blood-Brain Barrier / pathology | Blood-Brain Barrier / physiopathology | Female | Locomotion / drug effects | Locomotion / physiology | Mice | Mice, Inbred C57BL | Mitochondria / drug effects | Mitochondria / physiology | Organelle Biogenesis | Piperidines / pharmacology | Piperidines / therapeutic use | Pyridines / pharmacology | Pyridines / therapeutic use | Recovery of Function / drug effects | Recovery of Function / physiology | Serotonin Receptor Agonists / pharmacology | Serotonin Receptor Agonists / therapeutic use | Spinal Cord / drug effects | Spinal Cord / pathology | Spinal Cord / physiology | Spinal Cord Injuries / drug therapy | Spinal Cord Injuries / pathology | Spinal Cord Injuries / physiopathology",5-HT(1F) receptor | Blood-spinal cord barrier | Lasmiditan | Locomotor recovery | Mitochondrial biogenesis | Mitochondrial respiration | Spinal cord injury,NINDS NIH HHS | BLRD VA | NIA NIH HHS,F31 NS115413 | I01 BX004868 | IK2 BX005218 | T32 AG061897,,,,,eng,
10.1016/j.nurt.2010.03.003,,,5-HT1F Receptor Agonists: A New Treatment Option for Migraine Attacks?,2010,Lars Neeb; Jannis Meents; Uwe Reuter,Neurotherapeutics,journal-article,,2010-04-01,1878-7479,1933-7213,Elsevier BV,"Benzamides / therapeutic use | Gene Expression Regulation / drug effects | Humans | Indoles / therapeutic use | Migraine Disorders / drug therapy | Migraine Disorders / metabolism | Neurogenic Inflammation / drug therapy | Proto-Oncogene Proteins c-fos / metabolism | Receptors, Serotonin / metabolism | Serotonin Receptor Agonists / therapeutic use | Trigeminal Nuclei / drug effects | Trigeminal Nuclei / metabolism | Tryptamines / therapeutic use | Receptor, Serotonin, 5-HT1F",,,,,,,,eng,
10.1016/j.pharmthera.2023.108580,,,TAAR1 as an emerging target for the treatment of psychiatric disorders,2023,Jianfeng Liu; Ruyan Wu; Jun-Xu Li,Pharmacology & Therapeutics,journal-article,,2023-12-22,0163-7258,1879-016X,Elsevier BV,"Animals | Humans | Receptors, G-Protein-Coupled / metabolism | Signal Transduction | Mental Disorders / drug therapy | Mental Disorders / metabolism | Brain / metabolism | Substance-Related Disorders / metabolism | Amines / metabolism | Mammals / metabolism",Dopamine receptors | Psychiatric disorders | Signaling pathway | TAAR1 | Trace amines,NIDA NIH HHS,R01 DA047967,,,,,eng,
10.1017/neu.2022.15,,,Circuits regulating pleasure and happiness – focus on potential biomarkers for circuitry including the habenuloid complex,2022,Anton J.M. Loonen; Svetlana A. Ivanova,Acta Neuropsychiatrica,journal-article,,2022-05-19,0924-2708,1601-5215,Cambridge University Press (CUP),"Humans | Pleasure / physiology | Happiness | Receptors, Dopamine D4 | Nicotine | Biomarkers",(neuro)psychiatry | biomarkers | evolution-based theory | forebrain circuitry | habenula | mental disorders,,,,,,,eng,
10.1017/neu.2022.6,,,"Long COVID, neuropsychiatric disorders, psychotropics, present and future",2022,Siu Wa Tang; Brian E. Leonard; Daiga Maret Helmeste,Acta Neuropsychiatrica,journal-article,,2022-02-11,0924-2708,1601-5215,Cambridge University Press (CUP),Anxiety | COVID-19 / complications | COVID-19 / epidemiology | Humans | Pandemics | Psychotropic Drugs / therapeutic use | Post-Acute COVID-19 Syndrome | COVID-19 Drug Treatment,Neuroprotective effects | antidepressants | cognitive function | long COVID | psychiatric disorders,,,,,,,eng,
10.1017/s1092852913000837,,,The following abstracts were presented as posters at the 2013 NEI Psychopharmacology Congress.,2013,James Halgrimson; Michelle Magid; Jason Reichenberg; Poppy Poth; Ccrc 3rd Place; Kathryn Moseley; Colleen Azen; Melinda Mccusker; Mervat Estefanos; Ronnie Swift,CNS Spectrums,journal-article,,2013-12-01,1092-8529,2165-6509,Cambridge University Press (CUP),,Psychology | s2-fos-model,,,,,,,en,ad8394865256f9d08a06377de5a6115089b5d6f3
10.1017/s109285291500019x,,,The neurobiology of aggression and violence,2015,Daniel R. Rosell; Larry J. Siever,CNS Spectrums,journal-article,,2015-05-04,1092-8529,2165-6509,Cambridge University Press (CUP),"Aggression / psychology | Brain Chemistry | Disruptive, Impulse Control, and Conduct Disorders / drug therapy | Disruptive, Impulse Control, and Conduct Disorders / physiopathology | Disruptive, Impulse Control, and Conduct Disorders / psychology | Humans | Neurobiology | Serotonin Agents / therapeutic use | Violence / psychology",Amgydala | cortisol | dopamine | intermittent explosive disorder (IED) | monoamine oxidase A (MAOA) | orbitofrontal cortex | serotonin | testosterone | tryptophan hydroxylase 2 (TPH2) | vasopressin,,,,,,,eng,
10.1017/s1092852915000425,,,Effects of serotonin in the hippocampus: how SSRIs and multimodal antidepressants might regulate pyramidal cell function,2015,Elena Dale; Alan L. Pehrson; Theepica Jeyarajah; Yan Li; Steven C. Leiser; Gennady Smagin; Christina Kurre Olsen; Connie Sánchez,CNS spectrums,"Journal Article | Research Support, Non-U.S. Gov't | Review",,2015-09-08,1092-8529,,,"Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Major Depressive Disorder / drug therapy | Major Depressive Disorder / metabolism | Hippocampus / drug effects | Hippocampus / metabolism | Humans | Pyramidal Cells / drug effects | Pyramidal Cells / metabolism | Receptors, Serotonin / drug effects | Receptors, Serotonin / metabolism | Serotonin / metabolism | Selective Serotonin Reuptake Inhibitors / pharmacology | Selective Serotonin Reuptake Inhibitors / therapeutic use | Synaptic Transmission",Hippocampus | SSRI | pyramidal cell | serotonin | vortioxetine,,,,,,,eng,
