compound,target,assay_type,affinity_type,affinity_value,affinity_unit,species,system,study_doi,study_title,study_year,evidence_level,source,notes,source_type,access_level,evidence_location,evidence_locator,study_design,authors,paper_type
DOI,mGluR2 (GRM2),radioligand binding,EC50,100.0,nM,,in_vitro,10.1038/srep35320,"The mGluR2 positive allosteric modulator, SAR218645, improves memory and attention deficits in translational models of cognitive symptoms associated with schizophrenia",2016,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Abstract Normalization of altered glutamate neurotransmission through activation of the mGluR2 has emerged as a new approach to treat schizophrenia. These studies describ,preclinical_study,Guy Griebel; Philippe Pichat; Denis Boulay; Vanessa Naimoli; Lisa Potestio; Robert E. Featherstone; Sukhveen Sahni; Henry Defex; Christophe Desvignes; Franck Slowinski,primary_results
Ketamine,NMDA receptor,radioligand binding,IC50,70.0,M,,in_vitro,10.1038/srep38808,"A Clickable Analogue of Ketamine Retains NMDA Receptor Activity, Psychoactivity, and Accumulates in Neurons",2016,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Ketamine is a psychotomimetic and antidepressant drug. Although antagonism of cell-surface NMDA receptors (NMDARs) may trigger ketamine's psychoactive effects, ketamine o",preclinical_study,Christine M. Emnett; Hairong Li; Xiaoping Jiang; Ann Benz; Joseph Boggiano; Sara Conyers; David F. Wozniak; Charles F. Zorumski; David E. Reichert; Steven Mennerick,primary_results
R-ketamine,NMDA receptor,functional assay,Ki,30.0,mM,,in_vivo,10.1051/jbio/2023028,Intérêt et mécanismes d’action de la kétamine dans le traitement de l’addiction à l’alcool – Revue des études cliniques et précliniques,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Alcohol Use Disorder (AUD) is a psychiatric condition characterized by chronic and excessive drinking despite negative consequences on overall health and social or occupa,preclinical_study,Fahd François Hilal; Jérôme Jeanblanc; Mickaël Naassïla,primary_results
Ketamine,NMDA receptor,functional assay,Ki,0.5,uM,,in_vitro,10.1073/pnas.1916570117,Opioid system is necessary but not sufficient for antidepressive actions of ketamine in rodents,2020,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Slow response to the standard treatment for depression increases suffering and risk of suicide. Ketamine, an <i>N</i>-methyl-d-aspartate (NMDA) receptor antagonist, can r",preclinical_study,Matthew E. Klein; Joshua Chandra; Salma Sheriff; Roberto Malinow,primary_results
LSD,AMPA receptor,functional assay,Other,5.0,uM,,in_vivo,10.1073/pnas.2020705118,Lysergic acid diethylamide (LSD) promotes social behavior through mTORC1 in the excitatory neurotransmission,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Clinical studies have reported that the psychedelic lysergic acid diethylamide (LSD) enhances empathy and social behavior (SB) in humans, but its mechanism of action rema",preclinical_study,Danilo De Gregorio; Jelena Popic; Justine P. Enns; Antonio Inserra; Agnieszka Skalecka; Athanasios Markopoulos; Luca Posa; Martha Lopez-Canul; Qianzi He; Christopher K. Lafferty,primary_results
Ibogaine,SERT (SLC6A4),radioligand binding,IC50,9262.0,M,,in_vitro,10.1074/jbc.M112.343681,The Mechanistic Basis for Noncompetitive Ibogaine Inhibition of Serotonin and Dopamine Transporters,2012,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Ibogaine, a hallucinogenic alkaloid proposed as a treatment for opiate withdrawal, has been shown to inhibit serotonin transporter (SERT) noncompetitively, in contrast to",preclinical_study,Simon Bulling; Klaus Schicker; Yuan‐Wei Zhang; Thomas Steinkellner; Thomas Stockner; Christian W. Gruber; Stefan Boehm; Michael Freissmuth; Gary Rudnick; Harald H. Sitte,primary_results
Ibogaine,DAT (SLC6A3),radioligand binding,IC50,9262.0,M,,in_vitro,10.1074/jbc.M112.343681,The Mechanistic Basis for Noncompetitive Ibogaine Inhibition of Serotonin and Dopamine Transporters,2012,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Ibogaine, a hallucinogenic alkaloid proposed as a treatment for opiate withdrawal, has been shown to inhibit serotonin transporter (SERT) noncompetitively, in contrast to",preclinical_study,Simon Bulling; Klaus Schicker; Yuan‐Wei Zhang; Thomas Steinkellner; Thomas Stockner; Christian W. Gruber; Stefan Boehm; Michael Freissmuth; Gary Rudnick; Harald H. Sitte,primary_results
Noribogaine,SERT (SLC6A4),radioligand binding,EC50,9262.0,M,,in_vitro,10.1074/jbc.M114.595090,A Cytosolic Relay of Heat Shock Proteins HSP70-1A and HSP90β Monitors the Folding Trajectory of the Serotonin Transporter,2014,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Mutations in the C terminus of the serotonin transporter (SERT) disrupt folding and export from the endoplasmic reticulum. Here we examined the hypothesis that a cytosoli,in_vitro_binding_assay,Ali El-Kasaby; Florian Koban; Harald H. Sitte; Michael Freissmuth; Sonja Sucic,primary_results
Noribogaine,DAT (SLC6A3),radioligand binding,Other,30.0,uM,,in_vitro,10.1074/jbc.M117.797092,Pharmacochaperoning in a Drosophila model system rescues human dopamine transporter variants associated with infantile/juvenile parkinsonism,2017,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Point mutations in the gene encoding the human dopamine transporter (hDAT, SLC6A3) cause a syndrome of infantile/juvenile dystonia and parkinsonism. To unravel the molecu",preclinical_study,H.M. Mazhar Asjad; Ameya Kasture; Ali El-Kasaby; Michael Sackel; Thomas Hummel; Michael Freissmuth; Sonja Sucic,primary_results
MDMA,SERT (SLC6A4),uptake inhibition,Other,2.0,mM,,in_vitro,10.1085/jgp.201812066,Serotonin transport in the 21st century,2019,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Serotonin (5-hydroxytryptamine [5-HT]) is accumulated within nerve endings by the serotonin transporter (SERT), which terminates its extracellular action and provides cyt",in_vitro_uptake_assay,Gary Rudnick; Walter Sandtner,primary_results
LSD,5-HT2A,functional assay,Ki,100.0,nM,,in_vitro,10.1093/ijnp/pyaf052.234,327. 5-HT2B RECEPTORS MODULATE THE ANTIDEPRESSANT-LIKE RESPONSE OF THE PSYCHEDELIC LSD IN RAT BUT NOT IN MICE,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Abstract Background Recent clinical trials show that serotonergic psychedelics, including the prototypical hallucinogen lysergic acid diethylamide (LSD), present a great",preclinical_study,Amel Bouloufa; Sarah Delcourte; Renaud Rovera; Lionel Moulédous; Bruno P. Guiard; Nasser Haddjeri,primary_results
S-ketamine,NMDA receptor,radioligand binding,Other,50.0,uM,,in_vitro,10.1093/ijnp/pyy094,Glutamatergic Neurotransmission: Pathway to Developing Novel Rapid-Acting Antidepressant Treatments,2018,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The underlying neurobiological basis of major depressive disorder remains elusive due to the severity, complexity, and heterogeneity of the disorder. While the traditiona",in_vitro_binding_assay,Bashkim Kadriu; Laura Musazzi; Ioline D Henter; Morgan Graves; Maurizio Popoli; Carlos A Zarate,primary_results
Ketamine,NMDA receptor,functional assay,EC50,9.9,nM,,in_vitro,10.1093/ijnp/pyy101,Positive N-Methyl-D-Aspartate Receptor Modulation by Rapastinel Promotes Rapid and Sustained Antidepressant-Like Effects,2018,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Rapastinel brain concentrations associated with antidepressant-like activity directly enhance medial prefrontal cortex N-methyl-D-aspartate receptor activity and N-methyl,preclinical_study,John E. Donello; Pradeep Banerjee; Yong‐Xin Li; Yuan-Xing Guo; Takashi Yoshitake; Xiaolei Zhang; Omid Miry; Ján Kehr; Patric K. Stanton; Amanda L. Gross,primary_results
Ketamine,NMDA receptor,functional assay,Ki,0.3,uM,,in_vivo,10.1093/ijnp/pyz041,(R)-Ketamine Induces a Greater Increase in Prefrontal 5-HT Release Than (S)-Ketamine and Ketamine Metabolites via an AMPA Receptor-Independent Mechanism,2019,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Abstract Background Although recent studies provide insight into the molecular mechanisms of the effects of ketamine, the antidepressant mechanism of ketamine enantiomers",preclinical_study,Yukio Ago; Wataru Tanabe; Momoko Higuchi; Shinji Tsukada; Tatsunori Tanaka; Takumi Yamaguchi; Hisato Igarashi; Rei Yokoyama; Kaoru Seiriki; Atsushi Kasai,primary_results
S-ketamine,NMDA receptor,functional assay,Ki,0.3,uM,,in_vivo,10.1093/ijnp/pyz041,(R)-Ketamine Induces a Greater Increase in Prefrontal 5-HT Release Than (S)-Ketamine and Ketamine Metabolites via an AMPA Receptor-Independent Mechanism,2019,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Abstract Background Although recent studies provide insight into the molecular mechanisms of the effects of ketamine, the antidepressant mechanism of ketamine enantiomers",preclinical_study,Yukio Ago; Wataru Tanabe; Momoko Higuchi; Shinji Tsukada; Tatsunori Tanaka; Takumi Yamaguchi; Hisato Igarashi; Rei Yokoyama; Kaoru Seiriki; Atsushi Kasai,primary_results
Ketamine,SERT (SLC6A4),uptake inhibition,Ki,6.69,uM,,in_vitro,10.1093/nsr/nwaf367,Inhibition of SERT and NMDAR synergistically confers rapid antidepressant effects of ketamine,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: While <i>N</i>-methyl-d-aspartate receptor (NMDAR) blockade is crucial for the rapid antidepressant effects of ketamine, the involvement of other mechanisms remains conte",preclinical_study,Huoqing Luo; Ming Chen; Yingjie Ning; Li Ren; Yiping Lu; Junyou Sun; Xiaona Zhu; Mingzi Ran; Juan Guo; Chen Lu,primary_results
Ketamine,NMDA receptor,uptake inhibition,Kd,2.42,nM,,in_vitro,10.1093/nsr/nwaf367,Inhibition of SERT and NMDAR synergistically confers rapid antidepressant effects of ketamine,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: While <i>N</i>-methyl-d-aspartate receptor (NMDAR) blockade is crucial for the rapid antidepressant effects of ketamine, the involvement of other mechanisms remains conte",preclinical_study,Huoqing Luo; Ming Chen; Yingjie Ning; Li Ren; Yiping Lu; Junyou Sun; Xiaona Zhu; Mingzi Ran; Juan Guo; Chen Lu,primary_results
S-ketamine,SERT (SLC6A4),uptake inhibition,Ki,6.69,uM,,in_vitro,10.1093/nsr/nwaf367,Inhibition of SERT and NMDAR synergistically confers rapid antidepressant effects of ketamine,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: While <i>N</i>-methyl-d-aspartate receptor (NMDAR) blockade is crucial for the rapid antidepressant effects of ketamine, the involvement of other mechanisms remains conte",preclinical_study,Huoqing Luo; Ming Chen; Yingjie Ning; Li Ren; Yiping Lu; Junyou Sun; Xiaona Zhu; Mingzi Ran; Juan Guo; Chen Lu,primary_results
S-ketamine,NMDA receptor,uptake inhibition,Kd,2.42,nM,,in_vitro,10.1093/nsr/nwaf367,Inhibition of SERT and NMDAR synergistically confers rapid antidepressant effects of ketamine,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: While <i>N</i>-methyl-d-aspartate receptor (NMDAR) blockade is crucial for the rapid antidepressant effects of ketamine, the involvement of other mechanisms remains conte",preclinical_study,Huoqing Luo; Ming Chen; Yingjie Ning; Li Ren; Yiping Lu; Junyou Sun; Xiaona Zhu; Mingzi Ran; Juan Guo; Chen Lu,primary_results
R-ketamine,SERT (SLC6A4),uptake inhibition,Ki,6.69,uM,,in_vitro,10.1093/nsr/nwaf367,Inhibition of SERT and NMDAR synergistically confers rapid antidepressant effects of ketamine,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: While <i>N</i>-methyl-d-aspartate receptor (NMDAR) blockade is crucial for the rapid antidepressant effects of ketamine, the involvement of other mechanisms remains conte",preclinical_study,Huoqing Luo; Ming Chen; Yingjie Ning; Li Ren; Yiping Lu; Junyou Sun; Xiaona Zhu; Mingzi Ran; Juan Guo; Chen Lu,primary_results
R-ketamine,NMDA receptor,uptake inhibition,Kd,2.42,nM,,in_vitro,10.1093/nsr/nwaf367,Inhibition of SERT and NMDAR synergistically confers rapid antidepressant effects of ketamine,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: While <i>N</i>-methyl-d-aspartate receptor (NMDAR) blockade is crucial for the rapid antidepressant effects of ketamine, the involvement of other mechanisms remains conte",preclinical_study,Huoqing Luo; Ming Chen; Yingjie Ning; Li Ren; Yiping Lu; Junyou Sun; Xiaona Zhu; Mingzi Ran; Juan Guo; Chen Lu,primary_results
Ketamine,NMDA receptor,functional assay,Ki,15.0,uM,,in_vitro,10.1098/rstb.2023.0225,The <i>N</i> -methyl- <scp>d</scp> -aspartate receptor hypothesis of ketamine’s antidepressant action: evidence and controversies,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Substantial clinical evidence has unravelled the superior antidepressant efficacy of ketamine: in comparison to traditional antidepressants targeting the monoamine system,in_vitro_assay,Yihao Jiang; Yiyan Dong; Hailan Hu,primary_results
Ketamine,SERT (SLC6A4),uptake inhibition,Other,10.0,mM,,in_vitro,10.1101/2023.11.07.566121,"Microdosing ketamine in <i>Drosophila</i> does not inhibit SERT like SSRIs, but causes behavioral changes mediated by glutamate and serotonin receptors",2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Recently, the FDA approved microdosing ketamine for treatment resistant depression. Traditional antidepressants, like serotonin selective reuptake inhibitors (SSRIs), blo",preclinical_study,Kelly E. Dunham; Kani H. Khaled; Leah Weizman; B. Jill Venton,primary_results
S-ketamine,SERT (SLC6A4),uptake inhibition,Other,1.0,mM,,in_vitro,10.1101/2023.11.07.566121,"Microdosing ketamine in <i>Drosophila</i> does not inhibit SERT like SSRIs, but causes behavioral changes mediated by glutamate and serotonin receptors",2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Recently, the FDA approved microdosing ketamine for treatment resistant depression. Traditional antidepressants, like serotonin selective reuptake inhibitors (SSRIs), blo",preclinical_study,Kelly E. Dunham; Kani H. Khaled; Leah Weizman; B. Jill Venton,primary_results
R-ketamine,SERT (SLC6A4),uptake inhibition,Other,1.0,mM,,in_vitro,10.1101/2023.11.07.566121,"Microdosing ketamine in <i>Drosophila</i> does not inhibit SERT like SSRIs, but causes behavioral changes mediated by glutamate and serotonin receptors",2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Recently, the FDA approved microdosing ketamine for treatment resistant depression. Traditional antidepressants, like serotonin selective reuptake inhibitors (SSRIs), blo",preclinical_study,Kelly E. Dunham; Kani H. Khaled; Leah Weizman; B. Jill Venton,primary_results
MDMA,SERT,uptake inhibition,Other,100.0,uM,,in_vitro,10.1111/bph.12520,A quantitative model of amphetamine action on the 5‐ <scp>HT</scp> transporter,2013,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Background and Purpose Amphetamines bind to the plasmalemmal transporters for the monoamines dopamine ( DAT ), noradrenaline ( NET ) and 5‐HT ( SERT ); influx of amphetam",preclinical_study,Walter Sandtner; Diethart Schmid; Klaus Schicker; Klaus Gerstbrein; Xaver Koenig; Felix P. Mayer; Stefan Boehm; Michael Freissmuth; Harald H. Sitte,primary_results
MDMA,SERT (SLC6A4),uptake inhibition,Other,100.0,uM,,in_vitro,10.1111/bph.12520,A quantitative model of amphetamine action on the 5‐ <scp>HT</scp> transporter,2013,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Background and Purpose Amphetamines bind to the plasmalemmal transporters for the monoamines dopamine ( DAT ), noradrenaline ( NET ) and 5‐HT ( SERT ); influx of amphetam",preclinical_study,Walter Sandtner; Diethart Schmid; Klaus Schicker; Klaus Gerstbrein; Xaver Koenig; Felix P. Mayer; Stefan Boehm; Michael Freissmuth; Harald H. Sitte,primary_results
Ketamine,NMDA receptor,functional assay,Other,40.0,uM,,in_vitro,10.1111/bph.13222,"Ketamine and phencyclidine: the good, the bad and the unexpected",2015,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: The history of ketamine and phencyclidine from their development as potential clinical anaesthetics through drugs of abuse and animal models of schizophrenia to potential,in_vitro_assay,D Lodge; M S Mercier,primary_results
R-ketamine,NMDA receptor,radioligand binding,Ki,530.0,nM,,in_vivo,10.1111/cns.14464,The role of <scp>NMDARs</scp> in the anesthetic and antidepressant effects of ketamine,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Abstract Background As a phencyclidine (PCP) analog, ketamine can generate rapid‐onset and substantial anesthetic effects. Contrary to traditional anesthetics, ketamine i",preclinical_study,Liang Zhou; Jingjing Duan,primary_results
Ketamine,NMDA receptor,radioligand binding,Ki,530.0,nM,,in_vivo,10.1111/cns.14464,The role of <scp>NMDARs</scp> in the anesthetic and antidepressant effects of ketamine,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Abstract Background As a phencyclidine (PCP) analog, ketamine can generate rapid‐onset and substantial anesthetic effects. Contrary to traditional anesthetics, ketamine i",preclinical_study,Liang Zhou; Jingjing Duan,primary_results
DOM,NMDA receptor,functional assay,EC50,640.0,pM,,in_vivo,10.1111/j.1476-5381.1994.tb14809.x,Species‐dependent functional properties of non‐NMDA receptors expressed in <i>Xenopus laevis</i> oocytes injected with mammalian and avian brain mRNA,1994,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields (comparator `>` retained in context only),primary_study,full_text_seen,text,"Abstract snippet: 1. Species-dependent variation in the functional properties of non-NMDA receptors was investigated by intracellular recording in Xenopus laevis oocytes injected with rat,",preclinical_study,Derek Bowie; Trevor G. Smart,primary_results
DOI,5-HT2A,radioligand binding,Other,10.0,pM,,in_vitro,10.1111/j.1476-5381.1995.tb14973.x,Protein kinase C in rat brain cortex and hippocampus: effect of repeated administration of fluoxetine and desipramine,1995,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: 1. Recent evidence indicates that changes in the activity of cyclic AMP-dependent protein kinase may be involved in neuroadaptive mechanisms after chronic treatment with,preclinical_study,Catherine D. Mann; T. Bich Vu; Pavel D. Hrdina,primary_results
LSD,5-HT2A,functional assay,EC50,10.0,mM,,in_vivo,10.1111/j.1476-5381.1996.tb15149.x,Multiple 5‐HT receptors in the guinea‐pig superior cervical ganglion,1996,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: 1. We have studied the pharmacology of the depolarization by 5-hydroxytryptamine (5-HT) of the guinea-pig isolated superior cervical ganglion (SCG) using the grease-gap t,preclinical_study,Clare J. Watkins; Nigel R. Newberry,primary_results
LSD,NMDA receptor,radioligand binding,Other,50.0,mM,,in_vitro,10.1111/j.1476-5381.1996.tb15746.x,Regionally different N‐methyl‐D‐aspartate receptors distinguished by ligand binding and quantitative autoradiography of [<sup>3</sup>H]‐CGP 39653 in rat brain,1996,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: 1. Binding of D,L-(E)-2-amino-4-[3H]-propyl-5-phosphono-3-pentenoic acid ([3H]-CGP 39653), a high affinity, selective antagonist at the glutamate site of the N-methyl-D-a",preclinical_study,Manolo Mugnaini; Frank Th. M. van Amsterdam; Emiliangelo Ratti; David G. Trist; Norman G. Bowery,primary_results
Ketamine,NMDA receptor,functional assay,Ki,0.06,uM,,in_vivo,10.1111/pcn.12902,"Rapid‐acting antidepressant ketamine, its metabolites and other candidates: A historical overview and future perspective",2019,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Major depressive disorder (MDD) is one of the most disabling psychiatric disorders. Approximately one-third of the patients with MDD are treatment resistant to the curren,preclinical_study,Kenji Hashimoto,primary_results
LSD,5-HT1A,radioligand binding,Ki,0.5,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
LSD,SERT (SLC6A4),radioligand binding,Ki,7.0,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
DMT,5-HT1A,radioligand binding,Ki,0.5,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
DMT,SERT (SLC6A4),radioligand binding,EC50,7.0,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
MDMA,5-HT1A,radioligand binding,Ki,0.5,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
MDMA,SERT (SLC6A4),radioligand binding,EC50,7.0,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
DOM,5-HT1A,radioligand binding,Ki,0.5,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
DOM,SERT (SLC6A4),radioligand binding,EC50,7.0,M,,in_vitro,10.1124/jpet.111.179705,Abuse Liability Profile of Three Substituted Tryptamines,2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The abuse liability profile of three synthetic hallucinogens, N,N-diisopropyltryptamine (DIPT), 5-N,N-diethyl-5-methoxytryptamine (5-MeO-DET), and 5-methoxy-α-methyltrypt",preclinical_study,Michael B. Gatch; Michael J. Forster; Aaron Janowsky; Amy J. Eshleman,primary_results
